id_caso,marca,modelo,anio,kilometraje,ultimo_mantenimiento,rpm,presion_aceite,temperatura_motor,nivel_combustible,voltaje_bateria,velocidad,descripcion_sintomas,falla_principal,subfalla,nivel_gravedad,posibles_soluciones
146,Toyota,Hilux,2020,40000,2024-02-15,,,,,12.7,60,"El freno trasero se bloquea",Frenos,Válvula compensadora,Moderada,"Reemplazar válvula compensadora y purgar"
147,Honda,Accord,2019,50000,2024-01-25,,,,,12.8,50,"El volante no regresa a su posición solo",Dirección,Bomba de dirección,Moderada,"Reemplazar bomba de dirección"
148,Kia,Stonic,2021,20000,2024-03-15,2100,40,90,50,,40,"Tirones al acelerar y olor a azufre",Motor,Sensor de oxígeno (O2),Moderada,"Reemplazar sensor O2 y revisar catalizador"
149,Hyundai,Santa Fe,2018,75000,2023-12-10,2300,38,92,40,,60,"El auto pierde potencia al subir pendientes",Motor,Filtro de gasolina,Leve,"Reemplazar filtro de gasolina"
150,Chevrolet,Cobalt,2015,110000,2023-08-10,1700,36,91,20,,40,"El motor no mantiene el ralentí",Motor,Válvula IAC,Moderada,"Limpiar o reemplazar válvula IAC"
151,Toyota,Corolla,2020,38000,2024-04-20,1500,40,90,60,13.7,20,"Arranque débil en frío y baja velocidad de giro",Eléctrico,Batería baja,Leve,"Cargar o reemplazar batería"
152,Nissan,Sentra,2017,60000,2024-01-28,2400,38,94,35,,50,"Ruido de traqueteo en la parte trasera al frenar",Frenos,Caliper suelto,Moderada,"Ajustar o reemplazar caliper trasero"
153,Hyundai,Elantra,2018,59000,2023-12-10,2100,42,93,40,12.6,55,"Consumo alto de combustible y humo negro",Motor,Filtro de aire,Leve,"Reemplazar filtro de aire"
154,Kia,Rio,2017,75000,2024-03-05,,,,,12.4,30,"El pedal de freno va hasta el fondo",Frenos,Cilindro maestro con fuga,Crítica,"Reemplazar cilindro maestro"
155,Chevrolet,Cruze,2015,110000,2023-11-20,2300,35,106,15,12.0,45,"Testigo de temperatura y pérdida de anticongelante",Refrigeración,Manguera de radiador,Crítica,"Reemplazar manguera y purgar aire"
156,Toyota,Yaris,2018,60000,2024-03-10,,,,,12.7,0,"El auto no arranca, no hace nada",Eléctrico,Fusible principal,Moderada,"Reemplazar fusible principal"
157,Honda,Civic,2017,80000,2023-11-15,,,,,12.5,60,"Vibración constante en el asiento",Suspensión,Neumático con deformación,Moderada,"Reemplazar neumático o balancear"
158,Volkswagen,Gol,2015,105000,2023-09-15,1100,35,90,25,,30,"El motor se apaga al hacer un alto",Motor,Sensor de posición del acelerador (TPS),Moderada,"Reemplazar sensor TPS"
159,Nissan,Versa,2019,40000,2024-04-05,2400,41,91,65,12.8,70,"La caja patea al meter Drive o Reversa",Transmisión,Acumulador de presión,Moderada,"Servicio de caja y revisión de acumuladores"
160,Hyundai,Tucson,2016,85000,2023-12-01,2600,37,100,40,12.5,50,"Olor a goma quemada bajo el capó",Motor,Banda de accesorios desgastada,Moderada,"Reemplazar banda de accesorios"
161,Kia,Sportage,2019,55000,2024-03-01,,,,,12.6,40,"Golpe seco al pasar baches traseros",Suspensión,Amortiguadores traseros,Moderada,"Reemplazar amortiguadores traseros"
162,Chevrolet,Captiva,2016,95000,2023-11-25,2000,39,93,30,,50,"Dirección dura intermitentemente",Dirección,Bomba de dirección asistida,Crítica,"Reemplazar bomba de dirección"
163,Toyota,Avanza,2019,50000,2024-01-25,1600,44,90,55,12.7,20,"Demora en el encendido, huele a combustible",Combustible,Inyector(es) con goteo,Moderada,"Limpiar o reemplazar inyector(es)"
164,Honda,CR-V,2016,85000,2023-12-05,,,,,12.4,50,"Ruido metálico en la rueda delantera al girar",Frenos,Protector de disco doblado,Leve,"Ajustar protector de disco"
165,Nissan,Sentra,2015,100000,2023-10-10,2200,36,96,25,12.2,60,"Fallo de encendido en un cilindro",Motor,Bobina de encendido,Moderada,"Reemplazar bobina y bujía del cilindro afectado"
166,Hyundai,Accent,2018,65000,2024-02-05,2700,32,103,30,,60,"Humo blanco por el escape y consumo de agua",Motor,Empaque de culata,Crítica,"Reemplazar empaque de culata"
167,Kia,Picanto,2018,70000,2023-11-30,1900,35,91,20,,40,"La batería no retiene la carga",Eléctrico,Alternador,Moderada,"Probar y reemplazar alternador si falla"
168,Honda,CR-V,2020,40000,2024-03-01,,,,,12.8,55,"Vibración fuerte al girar el volante",Dirección,Bomba de dirección hidráulica,Moderada,"Reemplazar bomba de dirección"
169,Chevrolet,Spin,2019,50000,2023-12-15,1800,40,87,45,,30,"Luz de aceite encendida al ralentí",Motor,Bomba de aceite,Crítica,"Reemplazar bomba de aceite"
170,Toyota,Rav4,2018,65000,2023-12-01,,,,,12.6,70,"Freno se bloquea repentinamente",Frenos,Pinza de freno pegada,Crítica,"Reemplazar pinza y pastillas"
171,Nissan,Tiida,2016,95000,2023-08-01,2300,33,108,15,,50,"Humo gris oscuro en la aceleración",Motor,Válvulas EGR,Moderada,"Limpiar o reemplazar válvula EGR"
172,Honda,City,2020,35000,2024-01-15,,,,,12.7,30,"Ruido de golpeo en la suspensión trasera",Suspensión,Bujes de la barra de torsión,Moderada,"Reemplazar bujes de barra de torsión"
173,Toyota,Etios,2017,80000,2023-10-20,1600,34,95,25,,40,"El motor se apaga al desacelerar",Motor,Sensor de árbol de levas (CMP),Moderada,"Reemplazar sensor CMP"
174,Kia,Carens,2019,55000,2024-03-05,2500,40,92,30,12.7,50,"Pérdida de potencia y check engine",Motor,Sensor de oxígeno (O2),Moderada,"Reemplazar sensor O2"
175,Hyundai,Sonata,2018,68000,2023-11-10,,,,,12.5,20,"Ruido al girar el volante con el motor apagado",Dirección,Bieleta de dirección,Leve,"Ajustar o reemplazar bieleta"
176,Chevrolet,Tracker,2018,60000,2024-02-28,2400,41,90,70,12.6,60,"Luz de advertencia de transmisión encendida",Transmisión,Fallo en sensor de velocidad,Moderada,"Reemplazar sensor de velocidad de la transmisión"
177,Nissan,March,2016,90000,2023-07-15,900,26,93,10,,20,"El auto no arranca en caliente",Motor,Bobina de encendido,Moderada,"Reemplazar bobina(s) o sensor de encendido"
178,Toyota,Prado,2016,90000,2023-12-05,2200,45,94,50,12.4,65,"Freno de mano no funciona",Frenos,Zapatas de freno de mano,Moderada,"Reemplazar zapatas y ajustar cable"
179,Honda,Pilot,2019,40000,2024-03-01,,,,,12.7,50,"Ruido como un golpe metálico en la suspensión",Suspensión,Buje de brazo de control,Moderada,"Reemplazar buje de brazo de control"
180,Kia,Cerato,2018,65000,2024-02-10,,,,,12.5,40,"Arranca, pero el tablero se apaga",Eléctrico,Falla en módulo de carrocería (BCM),Crítica,"Revisar cableado o reemplazar BCM"
181,Hyundai,Creta,2017,70000,2024-03-25,2300,40,95,40,12.6,60,"Consumo de combustible muy alto",Motor,Sensor de temperatura del motor (ECT),Moderada,"Reemplazar sensor ECT"
182,Chevrolet,Aveo,2014,125000,2023-09-01,2000,31,102,20,,30,"El motor tiembla mucho al ralentí",Motor,Cableado de bujías,Moderada,"Reemplazar cableado y bujías"
183,Nissan,Xtrail,2017,78000,2023-12-25,2100,40,93,45,,60,"Fuerte olor a gasolina bajo el capó",Combustible,Regulador de presión,Crítica,"Reemplazar regulador de presión de combustible"
184,Toyota,Fortuner,2018,70000,2023-11-01,,,,,12.5,50,"Volante se siente suelto en carretera",Dirección,Terminal de dirección,Moderada,"Reemplazar terminal de dirección"
185,Honda,Odyssey,2019,75000,2023-11-15,2200,48,99,35,,40,"La caja no cambia de 1ra a 2da",Transmisión,Solenoide de cambio,Moderada,"Reemplazar solenoide de cambio"
186,Kia,Optima,2017,75000,2023-08-10,,,,,12.3,60,"Vibración al frenar que se siente en el volante",Frenos,Discos delanteros torcidos,Moderada,"Rectificar o reemplazar discos"
187,Hyundai,i10,2016,95000,2023-09-20,1700,35,89,30,,30,"El motor se apaga sin razón en marcha",Motor,Sensor de posición del cigüeñal (CKP),Crítica,"Reemplazar sensor CKP"
188,Chevrolet,Trailblazer,2018,60000,2024-02-10,2500,43,107,40,12.4,70,"Temperatura sube en carretera",Refrigeración,Radiador obstruido,Moderada,"Limpiar o reemplazar radiador"
189,Nissan,Frontier,2020,60000,2023-12-20,2000,41,94,30,12.6,60,"Tironeos fuertes al cambiar de marcha",Transmisión,Cuerpo de válvulas,Moderada,"Servicio de caja y revisión de cuerpo de válvulas"
190,Toyota,Tundra,2018,70000,2024-04-15,,,,,12.6,50,"Ruido de golpeteo al girar la dirección",Dirección,Bomba de dirección hidráulica,Moderada,"Reemplazar bomba de dirección"
191,Honda,HR-V,2018,45000,2024-03-25,,,,,12.7,40,"Ruido al pasar baches, como chirrido",Suspensión,Bujes de barra estabilizadora,Leve,"Reemplazar bujes de barra"
192,Kia,Sorento,2020,55000,2023-12-10,2600,38,91,35,12.8,55,"Pérdida de potencia y humo gris",Motor,Bujías/bobinas,Moderada,"Reemplazar bujías y bobinas"
193,Hyundai,Veloster,2018,65000,2023-10-30,,,,,12.5,60,"Testigo de ABS encendido, no frena bien",Frenos,Sensor ABS dañado,Moderada,"Reemplazar sensor ABS"
194,Chevrolet,Malibu,2019,68000,2023-10-15,2200,42,92,30,12.6,70,"Vibración al acelerar en pendientes",Transmisión,Junta homocinética,Moderada,"Reemplazar junta homocinética"
195,Nissan,Altima,2017,90000,2023-07-01,2300,39,96,20,12.3,50,"Ruido de golpeteo en el motor, pérdida de potencia",Motor,Bielas,Crítica,"Reparación completa de motor"
196,Toyota,Hilux,2019,55000,2024-02-20,,,,,12.6,60,"Freno se calienta y huele a quemado",Frenos,Pinza de freno pegada,Moderada,"Reemplazar pinza y pastillas"
197,Honda,Accord,2020,40000,2024-01-30,,,,,12.8,50,"Dirección muy suave y falta de respuesta",Dirección,Bomba de dirección,Moderada,"Reemplazar bomba de dirección"
198,Kia,Stonic,2019,35000,2024-03-20,2100,41,90,50,12.7,40,"Tirones al acelerar y luz de check engine",Motor,Sensor de oxígeno (O2),Moderada,"Reemplazar sensor O2"
199,Hyundai,Santa Fe,2019,65000,2023-12-15,2400,37,92,40,12.6,60,"El motor hace un golpeteo fuerte",Motor,Tensores de cadena,Crítica,"Reemplazar tensores de cadena"
200,Chevrolet,Cobalt,2016,90000,2023-08-15,1800,36,90,25,12.2,40,"Pérdida de potencia y humo negro",Motor,Filtro de aire,Leve,"Reemplazar filtro de aire"
201,Toyota,Corolla,2016,100000,2023-10-22,2500,35,93,40,12.3,55,"Fallo de encendido en un cilindro, check engine",Motor,Bujía fallando,Moderada,"Reemplazar bujía y revisar bobina"
202,Nissan,Sentra,2020,35000,2024-04-05,,,,,12.7,0,"El freno trasero se bloquea al frenar",Frenos,Pinza trasera pegada,Crítica,"Reemplazar pinza y purgar sistema"
203,Hyundai,Elantra,2015,95000,2023-11-08,1900,40,94,30,12.4,45,"Ralentí inestable y consumo de aceite",Motor,Válvula PCV,Moderada,"Reemplazar válvula PCV"
204,Kia,Rio,2018,60000,2024-03-12,,,,,12.5,25,"Vibración al frenar a baja velocidad",Frenos,Discos delanteros,Moderada,"Rectificar discos delanteros"
205,Chevrolet,Cruze,2019,45000,2024-02-05,2400,39,104,25,12.6,60,"Sobrecalentamiento, burbujeo en el radiador",Refrigeración,Junta de culata,Crítica,"Reemplazar junta de culata"
206,Toyota,Yaris,2016,85000,2023-12-05,1000,36,89,35,12.2,20,"El motor se apaga inesperadamente en ralentí",Motor,Sensor CKP,Crítica,"Reemplazar sensor CKP"
207,Honda,Civic,2018,60000,2024-01-01,,,,,12.6,50,"Ruido de golpeteo al pasar baches frontales",Suspensión,Buje de horquilla,Moderada,"Reemplazar buje de horquilla"
208,Volkswagen,Gol,2016,88000,2023-10-01,2300,37,92,40,12.4,55,"Pérdida de potencia en subida y humo negro",Motor,Sensor MAP,Moderada,"Reemplazar sensor MAP"
209,Nissan,Versa,2017,75000,2023-12-10,2500,40,93,50,12.5,60,"La caja patea al pasar de 3ra a 4ta",Transmisión,Filtro de transmisión sucio,Moderada,"Servicio de transmisión y reemplazo de filtro"
210,Hyundai,Tucson,2020,40000,2024-04-18,,,,,12.8,70,"Olor a anticongelante por el escape",Motor,Empaque de culata,Crítica,"Reemplazar empaque de culata"
211,Kia,Sportage,2018,65000,2023-11-15,,,,,12.5,45,"El auto no arranca, solo hace 'clic' repetitivo",Eléctrico,Batería descargada,Moderada,"Cargar batería y revisar carga de alternador"
212,Chevrolet,Onix,2018,70000,2023-12-18,2200,38,91,30,12.4,50,"Dirección dura al girar completamente",Dirección,Manguera de alta presión,Moderada,"Reemplazar manguera de alta presión"
213,Honda,Fit,2017,75000,2024-01-10,1500,43,89,55,12.6,20,"Tironeos y vibración al ralentí",Motor,Filtro de combustible,Leve,"Reemplazar filtro de combustible"
214,Toyota,Avanza,2015,115000,2023-11-20,2400,35,95,20,12.2,60,"Arranque largo en frío y humo blanco",Motor,Fugas de inyector,Moderada,"Revisar y reemplazar inyectores con fugas"
215,Nissan,Kicks,2018,50000,2024-03-01,,,,,12.5,20,"Freno con chirrido en rueda delantera derecha",Frenos,Pastillas desgastadas,Moderada,"Reemplazar pastillas y revisar discos"
216,Hyundai,Accent,2019,45000,2024-02-25,2600,37,98,40,12.7,65,"Pérdida de potencia y alto consumo",Motor,Filtro de aire sucio,Leve,"Reemplazar filtro de aire"
217,Kia,Picanto,2019,40000,2024-01-05,2000,40,92,30,12.8,50,"El motor se siente sin fuerza al subir",Motor,Sensor MAF,Moderada,"Reemplazar sensor MAF"
218,Honda,CR-V,2016,90000,2023-12-08,2300,39,95,45,12.4,60,"Vibración en el volante al girar a la derecha",Dirección,Terminal de dirección,Moderada,"Reemplazar terminal de dirección"
219,Chevrolet,Spin,2017,75000,2023-11-01,1500,42,88,50,12.3,30,"Ralentí irregular y check engine",Motor,Sensor de posición del cigüeñal (CKP),Crítica,"Reemplazar sensor CKP"
220,Toyota,Rav4,2015,100000,2023-11-10,,,,,12.1,70,"Freno se calienta y humea tras frenadas suaves",Frenos,Pinza de freno pegada,Moderada,"Reemplazar pinza de freno"
221,Nissan,Tiida,2017,80000,2023-09-10,2400,35,97,20,12.4,55,"Fallo de encendido intermitente y tironeos",Motor,Bobina de encendido,Moderada,"Reemplazar bobina(s) defectuosa(s)"
222,Honda,City,2019,50000,2024-02-01,,,,,12.6,35,"Ruido sordo en la suspensión al bajar la velocidad",Suspensión,Amortiguadores delanteros,Moderada,"Reemplazar amortiguadores"
223,Toyota,Etios,2018,65000,2023-12-15,1700,38,94,30,12.5,40,"El motor se apaga al meter primera",Motor,Sensor de posición del cigüeñal (CKP),Crítica,"Reemplazar sensor CKP"
224,Kia,Carens,2020,40000,2024-04-01,2600,41,90,35,12.8,50,"Tirones al acelerar y luz de check engine",Motor,Bobina de encendido,Moderada,"Reemplazar bobina(s)"
225,Hyundai,Sonata,2017,78000,2023-10-10,,,,,12.4,20,"Golpeteo en la suspensión al girar en reversa",Suspensión,Bujes de brazo de control,Moderada,"Reemplazar bujes"
226,Chevrolet,Tracker,2017,75000,2023-12-01,2300,40,91,60,12.5,50,"Jalones al pasar de 2da a 3ra",Transmisión,Aceite de transmisión viejo,Moderada,"Servicio de transmisión y cambio de aceite"
227,Nissan,March,2018,60000,2023-10-05,950,29,95,15,12.3,30,"Ralentí inestable y olor a aceite quemado",Motor,Válvula PCV,Moderada,"Reemplazar válvula PCV"
228,Toyota,Prado,2019,55000,2024-01-05,,,,,12.7,60,"Vibración en el volante al frenar en pendiente",Frenos,Discos delanteros,Moderada,"Rectificar o reemplazar discos"
229,Honda,Pilot,2018,65000,2024-03-05,,,,,12.6,50,"Ruido metálico en la parte frontal al girar",Dirección,Rotula desgastada,Moderada,"Reemplazar rótula"
230,Kia,Cerato,2017,75000,2024-01-20,,,,,12.4,40,"El auto no arranca, no hace nada",Eléctrico,Batería descargada,Moderada,"Cargar batería y revisar alternador"
231,Hyundai,Creta,2019,50000,2024-04-01,2200,39,94,50,12.7,60,"Consumo alto y falta de potencia en aceleración",Motor,Filtro de aire,Leve,"Reemplazar filtro de aire"
232,Chevrolet,Aveo,2015,110000,2023-09-15,2000,30,105,20,12.1,30,"El motor cascabelea al acelerar",Motor,Sensor de detonación (Knock),Moderada,"Reemplazar sensor de detonación"
233,Nissan,Xtrail,2020,45000,2023-12-30,2100,40,93,40,12.8,65,"Olor a gasolina fuerte en el habitáculo",Combustible,Fuga en línea de combustible,Crítica,"Reparar fuga en línea de combustible"
234,Toyota,Fortuner,2015,100000,2023-11-05,,,,,12.2,50,"El volante vibra y hace ruido al girar",Dirección,Bomba de dirección asistida,Moderada,"Reemplazar bomba de dirección"
235,Honda,Odyssey,2016,110000,2023-11-20,2300,50,100,25,12.3,45,"Patina la caja al acelerar suave",Transmisión,Embrague desgastado,Moderada,"Reemplazar kit de embrague"
236,Kia,Optima,2018,65000,2023-08-15,,,,,12.4,60,"El pedal de freno está muy duro y no frena",Frenos,Servofreno (Booster),Crítica,"Reemplazar servofreno"
237,Hyundai,i10,2017,85000,2023-09-25,1600,34,90,20,12.5,30,"El motor se apaga y no vuelve a encender",Motor,Sensor CKP,Crítica,"Reemplazar sensor CKP"
238,Chevrolet,Trailblazer,2019,55000,2024-02-15,2500,45,108,40,12.7,70,"Temperatura sube al encender el A/C",Refrigeración,Electroventilador,Crítica,"Reemplazar motor del electroventilador"
239,Nissan,Frontier,2017,80000,2023-12-25,2000,40,95,35,12.5,60,"Ruido en el motor al acelerar a fondo",Motor,Soporte de motor,Moderada,"Reemplazar soporte de motor"
240,Toyota,Tundra,2021,35000,2024-04-05,,,,,12.8,50,"Dirección imprecisa y volante muy suave",Dirección,Cremallera de dirección,Moderada,"Reemplazar cremallera"
241,Honda,HR-V,2017,65000,2024-03-30,,,,,12.6,40,"Ruido en la suspensión al cargar peso",Suspensión,Amortiguadores,Moderada,"Reemplazar amortiguadores"
242,Kia,Sorento,2017,80000,2023-12-15,2500,39,91,35,12.4,55,"Pérdida de potencia y humo gris",Motor,Bujías/Bobinas,Moderada,"Reemplazar bujías y bobinas"
243,Hyundai,Veloster,2019,55000,2023-11-05,,,,,12.6,60,"Testigo de ABS y freno de mano encendidos",Frenos,Sensor ABS,Moderada,"Reemplazar sensor ABS"
244,Chevrolet,Malibu,2016,95000,2023-10-20,2200,40,92,30,12.3,70,"Vibración en la palanca de cambios",Transmisión,Soporte de transmisión,Moderada,"Reemplazar soporte de transmisión"
245,Nissan,Altima,2018,65000,2023-07-10,2300,38,98,25,12.5,50,"Golpeteo fuerte en el motor y baja presión de aceite",Motor,Bielas,Crítica,"Reparación de motor"
246,Toyota,Hilux,2017,78000,2024-02-25,,,,,12.5,60,"El freno de mano no agarra bien",Frenos,Cable de freno de mano,Leve,"Ajustar o reemplazar cable de freno de mano"
247,Honda,Accord,2017,70000,2024-02-01,,,,,12.4,50,"La dirección hace un ruido al girar rápido",Dirección,Bomba de dirección hidráulica,Moderada,"Reemplazar bomba de dirección"
248,Kia,Stonic,2018,50000,2024-03-25,2100,40,90,55,12.6,40,"Tirones leves y olor a quemado en el motor",Motor,Sensor de oxígeno (O2),Moderada,"Reemplazar sensor O2"
249,Hyundai,Santa Fe,2020,40000,2023-12-20,2400,37,92,40,12.7,60,"Golpeteo en el motor en frío y check engine",Motor,Tensores de cadena,Crítica,"Reemplazar tensores de cadena"
250,Chevrolet,Cobalt,2017,80000,2023-08-20,1800,36,90,25,12.3,40,"Pérdida de potencia y ralenti inestable",Motor,Sensor MAF,Moderada,"Reemplazar sensor MAF"
